LOC_Os01g08320.1	Os01g0178500
LOC_Os01g09450.1	Os01g0190300
LOC_Os01g13030.1	Os01g0231000
LOC_Os01g13520.1	Os01g0236300
LOC_Os01g18360.1	Os01g0286900
LOC_Os01g48444.1	Os01g0675700
LOC_Os01g53880.1	Os01g0741900
LOC_Os01g70270.1	Os01g0927600
LOC_Os02g04810.1	Os02g0141100
LOC_Os02g06910.1	Os02g0164900
LOC_Os02g13520.1	Os02g0228900
LOC_Os02g35140.1	Os02g0557200
LOC_Os02g41800.1	Os02g0628600
LOC_Os02g49160.1	Os02g0723400
LOC_Os02g56120.1	Os02g0805100
LOC_Os02g57250.1	Os02g0817600
LOC_Os03g43400.1	Os03g0633500
LOC_Os03g43410.1	Os03g0633800
LOC_Os03g53150.1	Os03g0742900
LOC_Os03g58350.1	Os03g0797800
LOC_Os04g36054.1	Os04g0442000
LOC_Os04g43910.1	Os04g0519700
LOC_Os04g55950.1	Os04g0653300
LOC_Os04g56850.1	Os04g0664400
LOC_Os04g57610.1	Os04g0671900
LOC_Os05g08570.1	Os05g0178600
LOC_Os05g09480.1	Os05g0186900
LOC_Os05g14180.1	Os05g0230700
LOC_Os05g44810.1	Os05g0523300
LOC_Os05g48590.1	Os05g0559400
LOC_Os06g07040.1	Os06g0166500
LOC_Os06g09660.1	Os06g0196700
LOC_Os06g22870.1	Os06g0335500
LOC_Os06g24850.1	Os06g0355300
LOC_Os06g39590.1	Os06g0597000
LOC_Os06g46410.1	Os06g0677800
LOC_Os06g47150.1	Os06g0685700
LOC_Os06g48950.1	Os06g0702600
LOC_Os07g08460.1	Os07g0182400
LOC_Os08g01780.1	Os08g0109400
LOC_Os08g40900.1	Os08g0520500
LOC_Os08g40900.1	Os08g0520550
LOC_Os09g35870.1	Os09g0527700
LOC_Os10g33940.1	Os10g0479900
LOC_Os11g11410.1	Os11g0221000
LOC_Os11g11420.1	Os11g0221200
LOC_Os11g11430.1	Os11g0221300
LOC_Os11g32110.1	Os11g0523800
LOC_Os12g29520.1	Os12g0479400
LOC_Os12g40890.1	Os12g0601300
LOC_Os12g40900.1	Os12g0601400
LOC_Os12g41950.1	Os12g0613700
